"_id","action","actionId","ambiguousTargetObjectIds","entryType","exception","mapping","message","messageDetail","reconciling","reconId","rootActionId","situation","sourceObjectId","status","targetObjectId","timestamp";
"6e4057db-79bf-41d4-be1d-9eb9aa1469bb","","","","start","","systemCam_managedUser","Reconciliation initiated by openidm-admin","","","0b8fb877-2918-44e7-8df6-495cecf1581c","0b8fb877-2918-44e7-8df6-495cecf1581c","","","SUCCESS","","2014-10-24T12:33:03.623Z";
"0a7e82f8-4b3c-4a0b-bd74-51ac1bfa9014","","","","start","","systemCam_managedUser","Reconciliation initiated by openidm-admin","","","1d190e00-f2b6-49c8-a5db-15ce652fcad7","1d190e00-f2b6-49c8-a5db-15ce652fcad7","","","SUCCESS","","2014-10-24T12:33:38.082Z";
"f15858c9-28c0-41ae-a0f1-c453739da04a","","","","start","","systemCam_managedUser","Reconciliation initiated by openidm-admin","","","b2a82f51-993d-4f9d-a8eb-d118d5d1632a","b2a82f51-993d-4f9d-a8eb-d118d5d1632a","","","SUCCESS","","2014-10-24T12:37:51.396Z";
"3a492e95-0c37-42fb-858e-179245390ba2","","","","start","","systemCam_managedUser","Reconciliation initiated by openidm-admin","","","5a39eb3c-93a5-49cd-b2b5-6f6e37f8a035","5a39eb3c-93a5-49cd-b2b5-6f6e37f8a035","","","SUCCESS","","2014-10-24T12:38:28.849Z";
"e7742cf3-ded9-43a1-88ec-0136bd65755d","","","","start","","systemCam_managedUser","Reconciliation initiated by openidm-admin","","","a939c5a9-74c2-457a-864b-3ee5da63c36a","a939c5a9-74c2-457a-864b-3ee5da63c36a","","","SUCCESS","","2014-10-24T12:38:39.817Z";
"b6863cef-d2b6-408c-96b8-88e752904d8d","","","","start","","systemCam_managedUser","Reconciliation initiated by openidm-admin","","","96201e29-6d58-40b2-9dad-07da0d154082","96201e29-6d58-40b2-9dad-07da0d154082","","","SUCCESS","","2014-10-24T12:46:46.064Z";
"a27445e7-41cb-4cc5-8717-9199c0c15c07","","","","start","","systemCam_managedUser","Reconciliation initiated by openidm-admin","","","1ce4a2bf-a268-4cef-b94b-8f375af0db32","1ce4a2bf-a268-4cef-b94b-8f375af0db32","","","SUCCESS","","2014-10-24T12:54:28.162Z";
"a955901b-e7c7-4252-a93e-0ce5eca787c7","","","","start","","systemCam_managedUser","Reconciliation initiated by openidm-admin","","","e18c23ae-a66a-4b89-89c8-156a2683a04d","e18c23ae-a66a-4b89-89c8-156a2683a04d","","","SUCCESS","","2014-10-24T12:54:34.714Z";
"ee26db6c-c8fa-45b0-91b7-7e58a6faf71a","","","","start","","systemCam_managedUser","Reconciliation initiated by openidm-admin","","","8e0af1c3-b865-4401-ab0e-bb49805db589","8e0af1c3-b865-4401-ab0e-bb49805db589","","","SUCCESS","","2014-10-24T12:55:02.909Z";
"8e0e29e5-bd6f-4675-a3bc-ae7f8c455637","","","","start","","systemCam_managedUser","Reconciliation initiated by openidm-admin","","","c98f7821-4432-46dc-94c4-9c01d77f25c1","c98f7821-4432-46dc-94c4-9c01d77f25c1","","","SUCCESS","","2014-10-24T14:58:49.053Z";
